H266;H.266;;;
H267;H.267;;
H268;H.268;;
H269;H.263;;
HD10;RGB;BlueFish;BlueFish444 (lossless RGBA, YUV 10-bit)
HDX4;Jomigo HDX4;;
HFYU;Huffman;;Huffman Lossless YUV and RGB formats (with Alpha-channel)
HMCR;Rendition;;Rendition Motion Compensation Format
HMRR;Rendition;;Rendition Motion Compensation Format
i263;H.263;;
I420;H.263;;
IAN ;Indeo 4;;
ICLB;CellB;;InSoft CellB Videoconferencing
IDM0;Wavelets 2;;IDM Motion Wavelets 2.0
IF09;H.261;Microsoft;
IFO9;YUV;Intel;
IGOR;PowerDVD;;
IJPG;M-JPEG;Intergraph;;
ILVC;Layered Video;Intel;;
ILVR;H.263+;;;
IMAC;MotionComp;;Intel hardware motion compensation.;
IMC1;YUV;;As YV12, except the U and V planes each have the same stride as the Y plane;
IMC2;YUV;;Similar to IMC1, except that the U and V lines are interleaved at half stride boundaries;
IMC3;YUV;;As IMC1, except that U and V are swapped;
IMC4;YUV;;As IMC2, except that U and V are swapped;
IMG ;YUV;;;
IMJG;Accom M-JPEG;;Accom SphereOUS M-JPEG with Alpha-channel;
IPDV;I-O DV;;I-O Data Device Giga AVI DV;
IPJ2;M-JPEG2000;;Image Power JPEG2000;
IR21;Indeo 2.1;;;
IRAW;YUV;;;http://www.fourcc.org/indexyuv.htm
ISME;ISME;;Intel;
IUYV;YUV;;Lead 16bpp. Interlaced version of UYVY (line order 0, 2, 4,....,1, 3, 5....);
IV30;Indeo 3;;Intel Indeo Video 3
IV31;Indeo 3;;Intel Indeo Video 3.1
IV32;Indeo 3;;Intel Indeo Video 3.2
IV33;Indeo 3;;Intel Indeo Video 3.3
IV34;Indeo 3;;Intel Indeo Video 3.4
IV35;Indeo 3;;Intel Indeo Video 3.5
IV36;Indeo 3;;Intel Indeo Video 3.6
IV37;Indeo 3;;Intel Indeo Video 3.7
IV38;Indeo 3;;Intel Indeo Video 3.8
IV39;Indeo 3;;Intel Indeo Video 3.9
IV40;Indeo 4;;Intel Indeo Video 4.0
IV41;Indeo 4;;Intel Indeo Video 4.1
IV42;Indeo 4;;Intel Indeo Video 4.2
IV43;Indeo 4;;Intel Indeo Video 4.3
IV44;Indeo 4;;Intel Indeo Video 4.4
IV45;Indeo 4;;Intel Indeo Video 4.5
IV46;Indeo 4;;Intel Indeo Video 4.6;
IV47;Indeo 4;;Intel Indeo Video 4.7;
IV48;Indeo 4;;Intel Indeo Video 4.8;
IV49;Indeo 4;;Intel Indeo Video 4.9;
IV50;Indeo 4;;Intel Indeo Video 5.0 Wavelet;http://www.fourcc.org/indexyuv.htm
IY41;YUV;;Lead 16bpp. Interlaced version of Y41P (line order 0, 2, 4,....,1, 3, 5....);http://www.fourcc.org/indexyuv.htm
IYU1;YUV;;IEEE1394 12bpp. 12 bit format used in mode 2 of the IEEE 1394 Digital Camera 1.04 spec;http://www.fourcc.org/indexyuv.htm
IYU2;YUV;;IEEE1394 24bpp. 24 bit format used in mode 2 of the IEEE 1394 Digital Camera 1.04 spec;
IYUV;YUV;;Intel Indeo iYUV 4:2:0;
JBYR;Kensington;;Kensington Video;http://ffdshow-tryout.sourceforge.net/
JFIF;M-JPEG;;;
JPEG;M-JPEG;;;http://www.apple.com/quicktime/download/standalone.html
JPG;M-JPEG;;;http://mirror01.iptelecom.net.ua/~video/codecs/PICVideo.Lossless.JPEG.codec.v2.10.27.exe
JPGL;Pegasus M-JPEG;;DIVIO JPEG Light for WebCams (Pegasus Lossless JPEG);
KMVC;Karl;;Karl Morton's Video (presumably);http://www.apple.com/quicktime/download/standalone.html
kpcd;Photo CD;;Kodak Photo CD;
L261;H.261;Lead Technologies;;
L263;H.263+;Lead Technologies;;
LAGS;Lagarith;;;
LBYR;Creative WebCam;;;
LCMW;Lead CMW;;Lead Technologies Motion CMW;
LCW2;Lead MCMW;;LEADTools MCMW 9Motion Wavelet;http://mirror01.iptelecom.net.ua/~video/codecs/LEAD.MCMP-M-JPEG.v1.016.codec.exe
LEAD;Lead Video;;;
LGRY;Lead GrayScale;;;
LIA1;Liafail;;Liafail, Inc.;
LJ2K;M-JPEG2000;Lead;;http://mirror01.iptelecom.net.ua/~video/codecs/LEAD.MCMP-M-JPEG.v1.016.codec.exe
LJPG;M-JPEG;Lead;;http://mirror01.iptelecom.net.ua/~video/codecs/LEAD.MCMP-M-JPEG.v1.016.codec.exe
Ljpg;M-JPEG;Lead;;
LMP2;MPEG-PS;Lead;;
LOCO;LOCO;;Lossless;
LSCR;Lead Screen capture;;;
LSV0;LSV0;;Infinop Inc.;
LSVC;Vmail;;Vianet Lighting Strike Vmail (Streaming)
LSVM;Vmail;;Vianet Lighting Strike Vmail (Streaming)
LSVW;Infinop;;Infinop Lightning Strike multiple bit rate video codec.
LSVX;Vmail;;Vianet Lightning Strike Video Codec
LZO1;LZO;;LZO compressed (lossless)
M101;YUV;Matrox;
M261;H.261;Microsoft;
M263;H.263;Microsoft;
M4CC;MPEG-4 Visual;ESS Divo;
M4S2;MPEG-4 Visual;FFMpeg;Hacked MS MPEG-4
MC12;ATI Motion;;ATI Motion Compensation Format
MC24;M-JPEG;MainConcept;
MCAM;ATI Motion;;ATI Motion Compensation Format
MCZM;RGB;;Theory MicroCosm Lossless 64bit RGB with Alpha-channel
MDVD;MicroDVD;;Alex MicroDVD Video (hacked MS MPEG-4)
MDVF;Digital Video;Pinnacle;Pinnacle DV/DV50/DVHD100
MHFY;YUV;;A.M.Paredes mhuffyYUV (LossLess);http://mirror01.iptelecom.net.ua/~video/codecs/Pinnacle.ReelTime.v2.5.software.only.codec.exe
MJ2C;JPEG2000;;Morgan Multimedia JPEG2000 Compression;http://mirror01.iptelecom.net.ua/~video/codecs/Pinnacle.ReelTime.v2.5.software.only.codec.exe
MJPA;Pinacle M-JPEG A;;Pinnacle ReelTime MJPG hardware;http://mediaxw.sourceforge.net
MJPB;M-JPEG;Pinacle B;;
MJPG;M-JPEG;;;
mJPG;M-JPEG;IBM;Including Huffman Tables;
MJPX;Pegasus M-JPEG;;Pegasus PICVideo M-JPEG;
ML20;Webcam;;Mimic MSN Messenger Webcam;
MMES;MPEG Video;Matrox;I-frame;
MMIF;MPEG Video;Matrox;I-frame;
MNVD;MindVid;;MindBend MindVid LossLess;
MP2V;MPEG Video;;Media Excel MPEG-2 Video;http://ffdshow-tryout.sourceforge.net/
MP2v;MPEG Video;;MPEG-2 Video;http://ffdshow-tryout.sourceforge.net/
MP41;S-Mpeg 4 v1;;Microsoft MPEG-4 V1 (enhansed H263);http://ffdshow-tryout.sourceforge.net/
MP42;S-Mpeg 4 v2;;Microsoft MPEG-4 V2;http://www.apple.com/quicktime/download/standalone.html
MP43;S-Mpeg 4 v3;;Microsoft MPEG-4 V3;
MP4S;MPEG-4 Visual;MS MPEG-4 v3;Microsoft MPEG-4 (Windows Media 7.0);
MP4V;MPEG-4 Visual;;Apple QuickTime MPEG-4 native;http://ffdshow-tryout.sourceforge.net/
MPEG;MPEG Video;;Chromatic MPEG 1 Video I Frame;http://ffdshow-tryout.sourceforge.net/
mpeg;MPEG Video;;MPEG-1 Video;http://ffdshow-tryout.sourceforge.net/
MPG1;MPEG Video;Ffmpeg;(MPEG-1/2) FFmpeg;http://ffdshow-tryout.sourceforge.net/
MPG2;MPEG Video;Ffmpeg;(MPEG-1/2) FFmpeg;http://ffdshow-tryout.sourceforge.net/
mpg2;MPEG Video;Ffmpeg;(MPEG-1/2) FFmpeg;http://ffdshow-tryout.sourceforge.net/
MPG3;MPEG-4 Visual;FFmpeg DivX 3;(MPEG-4) MS MPEG-4 v3;
MPG4;MPEG-4 Visual;MS MPEG-4 v1;Microsoft MPEG-4 v1;
MPGI;MPEG Video;Sigma;Sigma Design MPEG-1 I-frame;
MPNG;PNG;;Motion PNG;
MRCA;Mrcodec;;FAST Multimedia;
MRLE;RLE;;Microsoft RLE;
MSS1;Screen Video;Windows;Windows Screen Video;
MSS2;Windows Media;;Windows Media 9;
MSUC;MSU;;MSU LossLess;
MSUD;MSU;;MSU LossLess
MSV1;Microsoft Video 1;;Microsoft Video 1
MSVC;Microsoft Video 1;;Microsoft Video 1
MSZH;AVImszh;;Lossless (ZIP compression)
MTGA;TGA;;Motion TGA images (24, 32 bpp)
MTX1;M-JPEG;Matrox;
MTX2;M-JPEG;Matrox;
MTX3;M-JPEG;Matrox;
MTX4;M-JPEG;Matrox;
MTX5;M-JPEG;Matrox;
MTX6;M-JPEG;Matrox;
MTX7;M-JPEG;Matrox;
MTX8;M-JPEG;Matrox;
MTX9;M-JPEG;Matrox;
MV10;Nokia;;Nokia Mobile Phones
MV11;Nokia;;Nokia Mobile Phones
MV12;MVI;;Motion Pixels (old)
MV99;Nokia;;Nokia Mobile Phones
MVC1;Nokia;;Nokia Mobile Phones
MVC2;Nokia;;Nokia Mobile Phones
MVC9;Nokia;;Nokia Mobile Phones
MVI1;MVI;;Motion Pixels MVI
MVI2;MVI;;Motion Pixels MVI
MWV1;Aware Motion Wavelets;;Aware Motion Wavelets
MYUV;RGB;;Media-100 844/X Uncompressed
NAVI;MPEG-4 Visual;;nAVI video (hacked MS MPEG-4)
NDIG;MPEG-4 Visual;Ahead;Ahead Nero Digital MPEG-4
NHVU;Nvidia Texture;;Nvidia Texture Format (GEForce 3)
NO16;RGB;;Theory None16 64bit uncompressed Uncompressed
NT00;YUV;LightWave;NewTek LightWave HDTV YUV with Alpha-channel
NTN1;NogaTech Video 1;;Nogatech Video Compression 1
NTN2;NogaTech Video 2;;Nogatech Video Compression 2 (GrabBee hardware coder)
NUV1;Nuppel;;NuppelVideo
NV12;YUV;;8-bit Y plane followed by an interleaved U/V plane with 2x2 subsampling
NV21;YUV;;As NV12 with U and V reversed in the interleaved plane
NVDS;Nvidia Texture;;Nvidia Texture Format
NVHS;Nvidia Texture;;Nvidia Texture Format (GeForce 3)
NVHU;Nvidia Texture;;Nvidia Texture Format
NVS0;Nvidia Texture;;Nvidia Texture Compression Format
NVS1;Nvidia Texture;;Nvidia Texture Compression Format
NVS2;Nvidia Texture;;Nvidia Texture Compression Format
NVS3;Nvidia Texture;;Nvidia Texture Compression Format
NVS4;Nvidia Texture;;Nvidia Texture Compression Format
NVS5;Nvidia Texture;;Nvidia Texture Compression Format
NVS6;Nvidia Texture;;Nvidia Texture Compression Format
NVS7;Nvidia Texture;;Nvidia Texture Compression Format
NVS8;Nvidia Texture;;Nvidia Texture Compression Format
NVS9;Nvidia Texture;;Nvidia Texture Compression Format
NVT0;Nvidia Texture;;Nvidia Texture Compression Format;
NVT1;Nvidia Texture;;Nvidia Texture Compression Format;
NVT2;Nvidia Texture;;Nvidia Texture Compression Format;
NVT3;Nvidia Texture;;Nvidia Texture Compression Format;
NVT4;Nvidia Texture;;Nvidia Texture Compression Format;
NVT5;Nvidia Texture;;Nvidia Texture Compression Format;
NVT6;Nvidia Texture;;Nvidia Texture Compression Format;
NVT7;Nvidia Texture;;Nvidia Texture Compression Format;
NVT8;Nvidia Texture;;Nvidia Texture Compression Format;
NVT9;Nvidia Texture;;Nvidia Texture Compression Format;
NY12;YUV;Nogatech;;
NYUV;YUV;Nogatech;;
ONYX;VP7;On2;;http://www.on2.com/vp7.php3
PCLE;Studio400;Pinnacle;;
PDVC;Digital Video;Panasonic;;
PGVV;Radius Video Vision;;;
PHMO;Photomotion;IBM;;
PIM1;M-JPEG;Pegasus;Pinnacle DC1000 hardware (MPEG compression);http://mirror01.iptelecom.net.ua/~video/codecs/PICVideo.Lossless.JPEG.codec.v2.10.27.exe
PIM2;M-JPEG;Pegasus;Pegasus Imaging;http://mirror01.iptelecom.net.ua/~video/codecs/PICVideo.Lossless.JPEG.codec.v2.10.27.exe
PIMJ;M-JPEG;Pegasus;Pegasus Imaging PICvideo Lossless JPEG;http://mirror01.iptelecom.net.ua/~video/codecs/PICVideo.Lossless.JPEG.codec.v2.10.27.exe
PIXL;M-JPEG;Miro;MiroVideo XL (M-JPEG);
PNG;PNG;;;
PNG1;PNG;;Corecodec.org CorePNG;
PVEZ;PowerEZ;;Horizons Technology PowerEZ;
PVMM;MPEG-4 Visual;Pegasus;PacketVideo Corporation MPEG-4;
PVW2;Pegasus Wavelet;;Pegasus Imaging Wavelet 2000;
PVWV;Pegasus Wavelet;;Pegasus Imaging Wavelet 2000;
PXLT;Pixlet;;Apple Pixlet (Wavelet);
Q1.0;QPEG 1.0;;Q-Team QPEG 1.0;http://www.q-team.de
Q1.1;QPEG 1.1;;Q-Team QPEG 1.1;http://www.q-team.de
QDGX;Apple GX;;Apple QuickDUncompressed GX;
QDRW;Palettized Video;;Apple;
QPEG;QPEG 1.1;;Q-Team QPEG 1.1;
QPEQ;QPEG 1.1;;Q-Team QPEG 1.1;
R210;YUV;;BlackMagic YUV (Quick Time);
R411;Digital Video;Radius;Radius DV NTSC YUV;
R420;Digital Video;Radius;Radius DV PAL YUV;
RAV_;MPEG-1;GroupTron;GroupTRON ReferenceAVI (dummy for MPEG compressor);
RAVI;MPEG-1;GroupTron;GroupTRON ReferenceAVI (dummy for MPEG compressor);
RAW ;RGB;;Full Frames (Uncompressed);
raw ;RGB;;Full Frames (Uncompressed);http://www.apple.com/quicktime/download/standalone.html
RGB ;RGB;;Uncompressed RGB32;
RGB1;RGB;;Uncompressed RGB332 3:3:2;
