6770;;2CC;Vorbis;;;Mode 2+;http://www.vorbis.com
6771;;2CC;Vorbis;;;Mode 2+;http://www.vorbis.com
7A21;;2CC;AMR;;CBR;GSM-AMR (CBR, no SID);http://www.microsoft.com
7A22;;2CC;AMR;;VBR;GSM-AMR (VBR, including SID);http://www.microsoft.com
A100;;2CC;G.723.1;;;;
A101;;2CC;AVQSBC;;;;
A102;;2CC;ODSBC;;;;
A103;;2CC;G729A;;;;
A104;;2CC;AMR;WB;CBR;;
A105;;2CC;ADPCM;;CBR;G726;
A106;;2CC;AAC;;;;
A107;;2CC;ADPCM;;CBR;G726;
A109;;2CC;Speex;;;;http://www.speex.org/
DFAC;;2CC;FrameServer;;;DebugMode SonicFoundry Vegas FrameServer ACM Codec;
F1AC;;2CC;FLAC;;VBR;Free Lossless Audio Codec FLAC
FFFE;Extensible;2CC;;;;Extensible wave format
FFFF;In Development;2CC;;;;In Development / Unregistered
