IV36;;4CC;Indeo 3;;;Intel Indeo Video 3.6
IV37;;4CC;Indeo 3;;;Intel Indeo Video 3.7
IV38;;4CC;Indeo 3;;;Intel Indeo Video 3.8
IV39;;4CC;Indeo 3;;;Intel Indeo Video 3.9
IV40;;4CC;Indeo 4;;;Intel Indeo Video 4.0
IV41;;4CC;Indeo 4;;;Intel Indeo Video 4.1
IV42;;4CC;Indeo 4;;;Intel Indeo Video 4.2
IV43;;4CC;Indeo 4;;;Intel Indeo Video 4.3
IV44;;4CC;Indeo 4;;;Intel Indeo Video 4.4
IV45;;4CC;Indeo 4;;;Intel Indeo Video 4.5;
IV46;;4CC;Indeo 4;;;Intel Indeo Video 4.6;
IV47;;4CC;Indeo 4;;;Intel Indeo Video 4.7;
IV48;;4CC;Indeo 4;;;Intel Indeo Video 4.8;
IV49;;4CC;Indeo 4;;;Intel Indeo Video 4.9;
IV50;;4CC;Indeo 4;;;Intel Indeo Video 5.0 Wavelet;http://www.fourcc.org/indexyuv.htm
IY41;;4CC;YUV;;;Lead 16bpp. Interlaced version of Y41P (line order 0, 2, 4,....,1, 3, 5....);http://www.fourcc.org/indexyuv.htm
IYU1;;4CC;YUV;;;IEEE1394 12bpp. 12 bit format used in mode 2 of the IEEE 1394 Digital Camera 1.04 spec;http://www.fourcc.org/indexyuv.htm
IYU2;;4CC;YUV;;;IEEE1394 24bpp. 24 bit format used in mode 2 of the IEEE 1394 Digital Camera 1.04 spec;
IYUV;;4CC;YUV;;;Intel Indeo iYUV 4:2:0;
JBYR;;4CC;Kensington;;;Kensington Video;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
JFIF;;4CC;M-JPEG;;;FFDShow supported;
JPEG;;4CC;M-JPEG;;;JPEG compressed;http://www.apple.com/quicktime/download/standalone.html
jpeg;;4CC;M-JPEG;;;JPEG compressed;
JPG;;4CC;M-JPEG;;;JPEG compressed;http://mirror01.iptelecom.net.ua/~video/codecs/PICVideo.Lossless.JPEG.codec.v2.10.27.exe
JPGL;;4CC;Pegasus M-JPEG;;;DIVIO JPEG Light for WebCams (Pegasus Lossless JPEG);
KMVC;;4CC;Karl;;;Karl Morton's Video (presumably);http://www.apple.com/quicktime/download/standalone.html
kpcd;;4CC;Photo CD;;;Kodak Photo CD;
L261;;4CC;H.261;;;Lead Technologies H.261;
L263;;4CC;H.263+;;;Lead Technologies H.263;
LAGS;;4CC;Lagarith;;;Lagarith LossLess;
LBYR;;4CC;Creative WebCam;;;Creative WebCam;
LCMW;;4CC;Lead CMW;;;Lead Technologies Motion CMW;
LCW2;;4CC;Lead MCMW;;;LEADTools MCMW 9Motion Wavelet;http://mirror01.iptelecom.net.ua/~video/codecs/LEAD.MCMP-M-JPEG.v1.016.codec.exe
LEAD;;4CC;Lead Video;;;LEAD Video;
LGRY;;4CC;Lead GrayScale;;;Lead Technologies Grayscale Image;
LIA1;;4CC;Liafail;;;Liafail, Inc.;
LJ2K;Lead;4CC;M-JPEG2000;;;LEADTools JPEG2000;http://mirror01.iptelecom.net.ua/~video/codecs/LEAD.MCMP-M-JPEG.v1.016.codec.exe
LJPG;Lead;4CC;M-JPEG;;;LEAD M-JPEG;http://mirror01.iptelecom.net.ua/~video/codecs/LEAD.MCMP-M-JPEG.v1.016.codec.exe
Ljpg;Lead;4CC;M-JPEG;;;LEAD M-JPEG;
LMP2;Lead;4CC;MPEG-PS;;;LEADTools MPEG-2;
LOCO;;4CC;LOCO;;;LOCO Lossless;
LSCR;;4CC;Lead Screen capture;;;LEAD Screen Capture
LSV0;;4CC;LSV0;;;Infinop Inc.
LSVC;;4CC;Vmail;;;Vianet Lighting Strike Vmail (Streaming)
LSVM;;4CC;Vmail;;;Vianet Lighting Strike Vmail (Streaming)
LSVW;;4CC;Infinop;;;Infinop Lightning Strike multiple bit rate video codec.
LSVX;;4CC;Vmail;;;Vianet Lightning Strike Video Codec
LZO1;;4CC;LZO;;;LZO compressed (lossless)
M101;;4CC;YUV;;;Matrox
